Auteur,Commentaire
SUS,"hY guys, drug store вооружение in setup."
SUS,"hY guys, some worries with the police, i'll tell you more later."
SUS,hY. someone is trying to accuse me of participating in gun trafficking.
SUS,"Dude, the police came to my house yesterday, i do not know what to do..."
SUS,They seized my computer for the reason: selling drugs online on the darknet.
SUS,"I sold $ 200,000 worth of cocaine, business is going well."
SUS,"I have to contact the boss in panama, the bank transfer for the weapons will arrive at midnight"
SUS,"The sum has been sent, confirm this to me on the drug sales site ( вооружение )"
SUS,the administrator of the вооружение site is gone? What is this mess
SUS,he left by copying the entire database of weed customers
SUS,I'm going to kill him
SUS,"call the boss, I sent you his number on our website вооружение on the darknet"
SUS,tell me when it's done on our darknet forum.
SUS,everything is back to normal or we have to go kill him
SUS,"ok let's go, I'll send you the place where the weapons are in private message here"
